ResourceID,card,card_order,rights_type,resource_id,identifier_content,identifier_type,name_content,name_content_type,name_content_language,language_type,other_identifier_content,other_identifier_type,destruction_timespan_start,in_use_timespan_start,has_part,building_status,previous_building,image_identifier_content,image_identifier_type,image_other_identifier_content,image_other_identifier_type,image_name_content,image_name_content_type,image_name_content_language,image_right_type,image_url,building_type,building_aat_type,alternative_name_content,alternative_name_content_type,alternative_name_content_language,production_event_actor,production_event_actor_role,architect_name,dedication_activity_actor,dedication_activity_actor_role,name,id,religious_order,religion,location_address_street,location_address_city,location_coordinates_geo_json,location_place
0038e891-2394-52f1-9416-c8952c6e4eca,single,0,CC BY-SA,https://n2t.net/ark:/15052/31f846b0-4094-489f-8678-4d6245991aa6,https://n2t.net/ark:/15052/31f846b0-4094-489f-8678-4d6245991aa6,Brabant Cloud ARK Identifier,Sint-Jan de Doperkerk,Primary,Nederlands,Nederlands,http://gebouwen.brabantcloud.nl/entity/Q5073,Wikibase,,1-11-1958,,Rijksmonument,"[{""resourceId"": ""5f861768-b8e5-57a2-a447-6a098a6f2b23"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3596465e-1809-5cd0-8fe5-bb0c4f5adc31"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,building_type,1,,,,,,,,,,,,,,,,,,,,,,,,,Kerkgebouw,,,,,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,building_type,1,,,,,,,,,,,,,,,,,,,,,,,,,,kerken,,,,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,image,11,,,,,,,,,,,,,,,,https://n2t.net/ark:/15052/a5498917-9545-47ab-846f-2843e41886c0,Brabant Cloud ARK Identifier,http://gebouwen.brabantcloud.nl/entity/Q2143,Wikibase,"2008-03-23 11.17 Neerlangel, kerk",Primary,Nederlands,CC BY-SA,https://upload.wikimedia.org/wikipedia/commons/d/d6/2008-03-23_11.17_Neerlangel%2C_kerk.JPG,,,,,,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Sint Jan de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,St. Jan de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleine Sint Jan,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,H. Jan de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleine Sint-Jan,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Kleine St. Jan,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Heilige Jan de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
0038e891-2394-52f1-9416-c8952c6e4eca,alternate_names,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan de Doperkerk,Alternative,Nederlands,,,,,,,,,,,,,
