card,card_order,ResourceID,identifier_content,identifier_type,name_givenname,alt_names,resource_id,other_identifier_type,id,alternative_name_content,alternative_name_content_type,alternative_name_content_language
Actors,0,0014af5d-d617-5cd6-ad4b-cb02119072e1,https://n2t.net/ark:/15052/174259dd-9168-4757-859c-0a5981d6bbed,Brabant Cloud ARK Identifier,C. Vorstermans,,,,,,,
Actors,0,004f2679-47a8-52ca-bb7b-ad49ab399ba4,https://n2t.net/ark:/15052/bcc05221-2fa4-4e72-9ed3-118c1493fb37,Brabant Cloud ARK Identifier,J. Smits,,,,,,,
Actors,0,00e8c2b7-cc19-59d7-afe6-427f0bdd8a3f,https://n2t.net/ark:/15052/8fb05f15-ac3c-4162-814c-2c1479fa1589,Brabant Cloud ARK Identifier,E.J.A. Corsmit,,,,,,,
Actors,0,02287601-4d8c-5ae9-b285-38555b4cf487,https://n2t.net/ark:/15052/15e8b783-8e68-4945-9d1d-217249b28536,Brabant Cloud ARK Identifier,Jan Oomen,J. Oomen,,,,,,
Actors,0,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Brabant Cloud ARK Identifier,Hubertus van Luik,"['Hubertus', 'Sint Hubertus', 'Sint-Hubertus', 'St. Hubertus', 'Huibrecht']",https://www.wikidata.org/entity/Q159834,Wikidata,,,,
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Sint-Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,St. Hubertus,Alternative,Nederlands
Alternate names,1,026ad0b1-a161-5832-9ba1-aafe7f9dfcd7,,,,,,,https://n2t.net/ark:/15052/e65bd3aa-454e-45ec-850e-3528e5d02499,Huibrecht,Alternative,Nederlands
