code,concept,description,class_code,feature_class
ADM1,first-order administrative division,"a primary administrative division of a country, such as a state in the United States",A.ADM1,A
ADM1H,historical first-order administrative division,a former first-order administrative division,A.ADM1H,A
ADM2,second-order administrative division,a subdivision of a first-order administrative division,A.ADM2,A
ADM2H,historical second-order administrative division,a former second-order administrative division,A.ADM2H,A
ADM3,third-order administrative division,a subdivision of a second-order administrative division,A.ADM3,A
ADM3H,historical third-order administrative division,a former third-order administrative division,A.ADM3H,A
ADM4,fourth-order administrative division,a subdivision of a third-order administrative division,A.ADM4,A
ADM4H,historical fourth-order administrative division,a former fourth-order administrative division,A.ADM4H,A
ADM5,fifth-order administrative division,a subdivision of a fourth-order administrative division,A.ADM5,A
ADM5H,historical fifth-order administrative division,a former fifth-order administrative division,A.ADM5H,A
ADMD,administrative division,"an administrative division of a country, undifferentiated as to administrative level",A.ADMD,A
ADMDH,historical administrative division ,"a former administrative division of a political entity, undifferentiated as to administrative level",A.ADMDH,A
ADMS,school district,school district,A.ADMS,A
LTER,leased area,"a tract of land leased to another country, usually for military installations",A.LTER,A
PCL,political entity,,A.PCL,A
PCLD,dependent political entity,,A.PCLD,A
PCLF,freely associated state,,A.PCLF,A
PCLH,historical political entity,a former political entity,A.PCLH,A
PCLI,independent political entity,,A.PCLI,A
PCLIX,section of independent political entity,,A.PCLIX,A
PCLS,semi-independent political entity,,A.PCLS,A
PRSH,parish,an ecclesiastical district,A.PRSH,A
TERR,territory,,A.TERR,A
ZN,zone,,A.ZN,A
ZNB,buffer zone,a zone recognized as a buffer between two nations in which military presence is minimal or absent,A.ZNB,A
AIRS,seaplane landing area,a place on a waterbody where floatplanes land and take off,H.AIRS,H
ANCH,anchorage,an area where vessels may anchor,H.ANCH,H
BAY,bay,"a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf",H.BAY,H
BAYS,bays,"coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf",H.BAYS,H
BGHT,bight(s),an open body of water forming a slight recession in a coastline,H.BGHT,H
BNK,bank(s),"an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation",H.BNK,H
BNKR,stream bank,a sloping margin of a stream channel which normally confines the stream to its channel on land,H.BNKR,H
BNKX,section of bank,,H.BNKX,H
BOG,bog(s),"a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants",H.BOG,H
CAPG,icecap,a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet,H.CAPG,H
CHN,channel,"the deepest part of a stream, bay, lagoon, or strait, through which the main current flows",H.CHN,H
CHNL,lake channel(s),"that part of a lake having water deep enough for navigation between islands, shoals, etc.",H.CHNL,H
CHNM,marine channel,that part of a body of water deep enough for navigation through an area otherwise not suitable,H.CHNM,H
CHNN,navigation channel,a buoyed channel of sufficient depth for the safe navigation of vessels,H.CHNN,H
CNFL,confluence,a place where two or more streams or intermittent streams flow together,H.CNFL,H
CNL,canal,an artificial watercourse,H.CNL,H
CNLA,aqueduct,a conduit used to carry water,H.CNLA,H
CNLB,canal bend,a conspicuously curved or bent section of a canal,H.CNLB,H
CNLD,drainage canal,an artificial waterway carrying water away from a wetland or from drainage ditches,H.CNLD,H
CNLI,irrigation canal,a canal which serves as a main conduit for irrigation water,H.CNLI,H
CNLN,navigation canal(s),a watercourse constructed for navigation of vessels,H.CNLN,H
CNLQ,abandoned canal,,H.CNLQ,H
CNLSB,underground irrigation canal(s),a gently inclined underground tunnel bringing water for irrigation from aquifers,H.CNLSB,H
CNLX,section of canal,,H.CNLX,H
