ResourceID,card,card_order,source_id,identifier_content,identifier_type,type,name_content,name_type,name_language,part_of_location,annotation_population,annotation_timezone,country,coordinates_geo_json,coordinates_wkt,annotation_elevation
f169e8e5-699c-5ab7-bef9-56d57e0c8114,single,0,2743480,https://www.geonames.org/2743480,Geonames identifier,populated place,Zwingelspaan,Primary,Nederlands,"[{""resourceId"": ""f169e8e5-699c-5ab7-bef9-56d57e0c8114"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8de26cef-c452-50df-b420-84330235dc39"", ""inverseOntologyProperty"": """"}]",120,Europe/Amsterdam,NL,POINT (4.49583 51.66),(4.49583 51.66),
2091b323-7697-5ad5-abc5-0083b7fed0d3,single,0,2743489,https://www.geonames.org/2743489,Geonames identifier,populated place,Zwijnsbergen,Primary,Nederlands,"[{""resourceId"": ""2091b323-7697-5ad5-abc5-0083b7fed0d3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""5e84821d-9c70-5060-a56c-d020859384be"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (5.50694 51.52667),(5.50694 51.52667),
bf7573c7-15f0-54d3-a4ea-972159a95bcc,single,0,2743490,https://www.geonames.org/2743490,Geonames identifier,estate(s),Zwijnsbergen,Primary,Nederlands,"[{""resourceId"": ""bf7573c7-15f0-54d3-a4ea-972159a95bcc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""deb8aa20-2592-533f-9f19-661f570f8b4d"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (5.22194 51.64222),(5.22194 51.64222),
5cf4a57b-4503-53e4-8c49-246c2c918d4b,single,0,2743514,https://www.geonames.org/2743514,Geonames identifier,pond,Zwartven,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (5.10937 51.3739),(5.10937 51.3739),
033798b5-955b-5512-a2ea-d43d043d734d,single,0,2743515,https://www.geonames.org/2743515,Geonames identifier,locality,Zwartven,Primary,Nederlands,"[{""resourceId"": ""033798b5-955b-5512-a2ea-d43d043d734d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f652cf23-760b-5bc3-8d90-40cb2705dc77"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.73123 51.50849),(4.73123 51.50849),
490c136a-d4f1-520c-a659-090d9475ced5,single,0,2743520,https://www.geonames.org/2743520,Geonames identifier,locality,Zwart Moerken,Primary,Nederlands,"[{""resourceId"": ""033798b5-955b-5512-a2ea-d43d043d734d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f652cf23-760b-5bc3-8d90-40cb2705dc77"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.7099 51.53997),(4.7099 51.53997),
d99f1a20-458e-5fa4-897b-89ff7d5d6e42,single,0,2743522,https://www.geonames.org/2743522,Geonames identifier,pond,Zwarte Wiel,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.30007 51.55857),(4.30007 51.55857),
157edb32-e1df-521e-864f-407ce0d1445f,single,0,2743530,https://www.geonames.org/2743530,Geonames identifier,locality,Zwarte Ven,Primary,Nederlands,"[{""resourceId"": ""157edb32-e1df-521e-864f-407ce0d1445f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f7063923-aeb4-5136-b179-b833658b7f3f"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.35197 51.44763),(4.35197 51.44763),
5f4581c2-11eb-5571-9932-fedd1e23ac81,single,0,2743534,https://www.geonames.org/2743534,Geonames identifier,populated place,Zwarte Ruiter,Primary,Nederlands,"[{""resourceId"": ""5f4581c2-11eb-5571-9932-fedd1e23ac81"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2d85b38f-a5ba-5f88-b081-3e54b097a92d"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.28862 51.5907),(4.28862 51.5907),
4a9818d0-1e2f-5764-b07f-fb8a15058778,single,0,2743541,https://www.geonames.org/2743541,Geonames identifier,polder,Zwartenbergsche Polder,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.64967 51.62108),(4.64967 51.62108),
e6986f20-9183-5b8d-9789-fcb4f9678ca0,single,0,2743542,https://www.geonames.org/2743542,Geonames identifier,populated place,Zwartenberg,Primary,Nederlands,"[{""resourceId"": ""e6986f20-9183-5b8d-9789-fcb4f9678ca0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""97be138a-77a9-59bd-b516-034edfb46135"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.63756 51.62668),(4.63756 51.62668),
f461b590-e0db-554c-aa7e-f9257ea05b2b,single,0,2743549,https://www.geonames.org/2743549,Geonames identifier,park,Zwarte Horst,Primary,Nederlands,"[{""resourceId"": ""f461b590-e0db-554c-aa7e-f9257ea05b2b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""30b07002-eafc-5a80-acb2-bfe7d2e3a05a"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (5.26038 51.26993),(5.26038 51.26993),
c5e5212d-2016-51f6-ba7a-685b14a26c1f,single,0,2743559,https://www.geonames.org/2743559,Geonames identifier,dune(s),Zwarte Duin,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.37383 51.40037),(4.37383 51.40037),
7fedf03f-c477-5986-94d8-a3545a00cfe2,single,0,2743563,https://www.geonames.org/2743563,Geonames identifier,locality,Zwarte Blik,Primary,Nederlands,"[{""resourceId"": ""7fedf03f-c477-5986-94d8-a3545a00cfe2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a83780a9-535a-547f-be07-87109ac4068f"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.60323 51.52242),(4.60323 51.52242),
ef240b6b-0e04-528b-bbfa-a2a2132e316e,single,0,2743579,https://www.geonames.org/2743579,Geonames identifier,pond,Zwaluwmoer,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.36634 51.40228),(4.36634 51.40228),
72a6f283-9f07-5a31-b394-d8067942105e,single,0,2743612,https://www.geonames.org/2743612,Geonames identifier,locality,Zurenhoek,Primary,Nederlands,"[{""resourceId"": ""72a6f283-9f07-5a31-b394-d8067942105e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f9542a53-0670-596d-a67e-986838a0f8af"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.34906 51.5443),(4.34906 51.5443),
b2cc5f70-94f1-5e1c-b4fa-a29997ed9ec3,single,0,2743613,https://www.geonames.org/2743613,Geonames identifier,locality,Zurendonk,Primary,Nederlands,"[{""resourceId"": ""7fedf03f-c477-5986-94d8-a3545a00cfe2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a83780a9-535a-547f-be07-87109ac4068f"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.60475 51.5136),(4.60475 51.5136),
3838694e-be86-5137-a23d-8486fa786526,single,0,2743614,https://www.geonames.org/2743614,Geonames identifier,locality,Zure Maden,Primary,Nederlands,"[{""resourceId"": ""72a6f283-9f07-5a31-b394-d8067942105e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f9542a53-0670-596d-a67e-986838a0f8af"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.37809 51.53934),(4.37809 51.53934),
eb4973be-204e-5460-bb69-183e2a2ab3a9,single,0,2743615,https://www.geonames.org/2743615,Geonames identifier,locality,Zure Heide,Primary,Nederlands,"[{""resourceId"": ""72a6f283-9f07-5a31-b394-d8067942105e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f9542a53-0670-596d-a67e-986838a0f8af"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.37775 51.48269),(4.37775 51.48269),
453f4cec-2b50-55d2-a80c-ee271c9bbc9f,single,0,2743617,https://www.geonames.org/2743617,Geonames identifier,locality,Zundertsche Schijf,Primary,Nederlands,"[{""resourceId"": ""7fedf03f-c477-5986-94d8-a3545a00cfe2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a83780a9-535a-547f-be07-87109ac4068f"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.57735 51.50228),(4.57735 51.50228),
854405b1-57be-50d6-a293-9053c2d6c457,single,0,2743618,https://www.geonames.org/2743618,Geonames identifier,second-order administrative division,Gemeente Zundert,Primary,Nederlands,"[{""resourceId"": ""033798b5-955b-5512-a2ea-d43d043d734d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f652cf23-760b-5bc3-8d90-40cb2705dc77"", ""inverseOntologyProperty"": """"}]",21988,Europe/Amsterdam,NL,POINT (4.6418 51.47352),(4.6418 51.47352),
1b5babcf-a8a8-5818-92cf-dc3723756780,single,0,2743619,https://www.geonames.org/2743619,Geonames identifier,populated place,Zundert,Primary,Nederlands,"[{""resourceId"": ""033798b5-955b-5512-a2ea-d43d043d734d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f652cf23-760b-5bc3-8d90-40cb2705dc77"", ""inverseOntologyProperty"": """"}]",6835,Europe/Amsterdam,NL,POINT (4.65556 51.47167),(4.65556 51.47167),
6bc4476b-fbc4-51dd-ad91-3272debe4bec,single,0,2743648,https://www.geonames.org/2743648,Geonames identifier,marine channel,Zuid Vlije,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.23637 51.63815),(4.23637 51.63815),
0ea5ac9b-2c04-5dd4-a157-4999c87f9c11,single,0,2743664,https://www.geonames.org/2743664,Geonames identifier,polder,Zuidpolder onder Ossendrecht,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.30381 51.38817),(4.30381 51.38817),
a6aefb6a-db16-5836-9b89-4d6585d31b55,single,0,2743712,https://www.geonames.org/2743712,Geonames identifier,heath,Zuidgeestsche Heide,Primary,Nederlands,"[{""resourceId"": ""f8356c5a-af05-59a6-b3b6-9ede0a23088c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7c873de2-8fce-5aad-9c8d-84fe71ce0487"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.31667 51.46667),(4.31667 51.46667),
92f3358c-29bf-554e-b4ca-744cb1d30497,single,0,2743713,https://www.geonames.org/2743713,Geonames identifier,populated place,Zuidgeest,Primary,Nederlands,"[{""resourceId"": ""92f3358c-29bf-554e-b4ca-744cb1d30497"", ""ontologyProperty"": """", ""resourceXresourceId"": ""77eb78e5-94db-5c64-b93e-9d586f882730"", ""inverseOntologyProperty"": """"}]",0,Europe/Amsterdam,NL,POINT (4.30833 51.46583),(4.30833 51.46583),
