code,concept
CC0 1.0 UNIVERSEEL,CC0
Creative Commons Attribution 3.0,CC BY
Creative Commons Attribution 4.0,CC BY
Creative Commons Attribution 4.0 International,CC BY
Creative Commons Attribution-Share Alike 2.0,CC BY-SA
Creative Commons Attribution-Share Alike 2.5,CC BY-SA
Creative Commons Attribution-Share Alike 3.0,CC BY-SA
Creative Commons Attribution-Share Alike 3.0 Netherlands,CC BY-SA
Creative Commons Attribution-Share Alike 3.0 nl,CC BY-SA
Creative Commons Attribution-Share Alike 4.0,CC BY-SA
Creative Commons Attribution-Share Alike 4.0 International,CC BY-SA
Creative Commons CC0 1.0 Universal Public Domain Dedication,CC0
Creative Commons CC0 1.0 Universele Public Domain Dedication,CC0
"Creative Commons Zero, Public Domain Dedication",CC0
Public domain,CC0
Public Domain,CC0
