card,card_order,ResourceID,identifier_content,identifier_type,architect_name,alt_names,other_identifier_content,other_identifier_type,dedication_activity_actor,dedication_activity_actor_role,name_givenname,name_type,name_language
Actors,0,cedd23c4-aa61-53ed-b322-170f2ac40350,https://n2t.net/ark:/15052/6dc0f577-b706-4f18-83a8-50548f252d6f,Brabant Cloud ARK Identifier,Johannes Heijkants,J. Heijkants,,,,,,Primary,Nederlands
Actors,0,2ea2fb6c-8cbb-5e5d-b0e4-109cbfe105d2,https://n2t.net/ark:/15052/360909c2-8b88-4684-adc4-46aabd53efa6,Brabant Cloud ARK Identifier,Louis Kooken,"['L.J.P. Kooken', 'Louis Joseph Petrus Kooken']",https://www.wikidata.org/entity/Q2036765,Wikidata,,,,Primary,Nederlands
Actors,0,f0a834f3-df37-5765-8af6-4cff3beee22b,https://n2t.net/ark:/15052/47030884-c96f-4dec-9186-968c07a0c334,Brabant Cloud ARK Identifier,Wilhelmus Jacobus van Vogelpoel,W.J. van Vogelpoel,https://www.wikidata.org/entity/Q2678249,Wikidata,,,,Primary,Nederlands
Actors,0,1609f679-a4e2-519f-a32d-a4023f1eeeb2,https://n2t.net/ark:/15052/f4027efe-b445-4c43-bfde-0f1c5fee996d,Brabant Cloud ARK Identifier,Caspar Franssen,"['C.J.H. Franssen', 'Caspar Johannes Hubertus Franssen', 'C. Franssen']",http://www.wikidata.org/entity/Q2682321,Wikidata,,,,Primary,Nederlands
Actors,0,2ee8f416-ea84-50ab-a69a-3e229e3704ff,https://n2t.net/ark:/15052/f691e0d0-6849-4fcf-8aa9-639eac9a4e07,Brabant Cloud ARK Identifier,Jan de Reus,"['J.A. de Reus', 'Johannes Adrianus de Reus', 'J. de Reus']",,,,,,Primary,Nederlands
Actors,0,4b2ccc87-be96-5f11-bc39-d4aceab43116,https://n2t.net/ark:/15052/05bab79d-0787-4d05-85d7-3e8a95eecf1c,Brabant Cloud ARK Identifier,J.H.W. Elemans,,,,,,,Primary,Nederlands
Actors,0,02c286be-b3cc-5732-81ed-7b7c81dbaccd,https://n2t.net/ark:/15052/0988fb32-e56a-458d-a90f-183604aaacb8,Brabant Cloud ARK Identifier,H.P.M. Elemans,,,,,,,Primary,Nederlands
Actors,0,4466e3da-1cb8-5a60-a2c4-b33380be89b6,https://n2t.net/ark:/15052/58264d9e-af62-4121-a2fb-c049c4a49820,Brabant Cloud ARK Identifier,Cornelis Sprengers,C. Sprengers,https://www.wikidata.org/entity/Q107057616,Wikidata,,,,Primary,Nederlands
Actors,0,243cfb5a-ec87-5f43-b4b5-cabb470e8eac,https://n2t.net/ark:/15052/a4adbeb4-34fa-4b89-9539-9a3039daf252,Brabant Cloud ARK Identifier,Johannes van Halteren,"['J.J.M. van Halteren', 'Johannes Joseph Maria van Halteren', 'J.J. van Halteren', 'J. van Halteren']",https://www.wikidata.org/entity/Q2991864,Wikidata,,,,Primary,Nederlands
Actors,0,62649cbe-6f24-5e7f-ad2c-50788e56ec17,https://n2t.net/ark:/15052/b3e5c67d-1415-440f-9b67-1c43c8cae39c,Brabant Cloud ARK Identifier,Piet van Genk,"['P.J. van Genk', 'Petrus Johannes van Genk']",https://www.wikidata.org/entity/Q2265026,Wikidata,,,,Primary,Nederlands
Actors,0,75846658-f97f-5d2d-aaa4-6c1b86eb11a8,https://n2t.net/ark:/15052/545a2b34-f033-40fa-908c-db27ec44ca58,Brabant Cloud ARK Identifier,Franciscus Johannes Wolters,"['Frans Wolters', 'F.J. Wolters']",,,,,,Primary,Nederlands
Actors,0,05a35e16-1b3f-596a-9861-81c736278cac,https://n2t.net/ark:/15052/566a1ff8-5e3c-4949-962f-1359b2f1418b,Brabant Cloud ARK Identifier,Justinus Backx,,,,,,,Primary,Nederlands
Actors,0,30e26361-b6b5-5968-893f-d724ac9e1afe,https://n2t.net/ark:/15052/abcaa1d7-39ff-485b-b537-619a6418c1f7,Brabant Cloud ARK Identifier,Hendrik Willem Valk,H.W. Valk,https://www.wikidata.org/entity/Q2486665,Wikidata,,,,Primary,Nederlands
Actors,0,0d6a35e9-faa7-57fe-80ce-12a9731f0ada,https://n2t.net/ark:/15052/0213ca69-10dd-401d-9c0f-aa6c0b227308,Brabant Cloud ARK Identifier,Hendrik Valk junior,"['H. Valk Jr.', 'Hendrik Valk jr.', 'H. Valk Junior', 'Hendrikus Willem Johannes Valk junior']",,,,,,Primary,Nederlands
Actors,0,eb521eb4-8875-58b7-baf4-7d94772e3a82,https://n2t.net/ark:/15052/bc2a087b-7bcf-4cbc-a123-db96a19c6b40,Brabant Cloud ARK Identifier,G.H.F. Valk,,,,,,,Primary,Nederlands
Actors,0,c75cb64b-eb9a-5226-ad87-4c53a0b6d20a,https://n2t.net/ark:/15052/112c8a33-3fcf-4999-99ee-71a436ef5e77,Brabant Cloud ARK Identifier,Petrus J. Soffers,"['P. Soffers', 'P.J. Soffers']",https://www.wikidata.org/entity/Q2620477,Wikidata,,,,Primary,Nederlands
Actors,0,13d84b3a-efdc-536b-b4ab-523261bb484f,https://n2t.net/ark:/15052/695cc8b3-4563-4cf0-b8c2-14edb252bfa1,Brabant Cloud ARK Identifier,J. en W. Oomen,,,,,,,Primary,Nederlands
Actors,0,db0077f8-52f0-5649-a7af-2ca314e5ce6f,https://n2t.net/ark:/15052/fafcab07-619a-4123-a118-4680c1fcb694,Brabant Cloud ARK Identifier,Hubert van Groenendael,"['Joseph Hendricus Hubertus van Groenendael', 'Joseph Henri Hubert van Groenendael', 'J.H.H. van Groenendael']",https://www.wikidata.org/entity/Q2233154,Wikidata,,,,Primary,Nederlands
Actors,0,d7d81930-432b-50cb-aeab-99bcb5facee8,https://n2t.net/ark:/15052/f37b59dc-b5d7-4d80-b394-e69435e0e8a2,Brabant Cloud ARK Identifier,J. Bennaars,J. Bennaers,,,,,,Primary,Nederlands
