ResourceID,card,card_order,alternative_name_content,alternative_name_type,alternative_name_language
80cf2aaf-e610-5f6e-84fc-f7b67117e9b6,organisation,2,Huis van de H. Anna,Alternative,Nederlands
80cf2aaf-e610-5f6e-84fc-f7b67117e9b6,organisation,2,Huize St. Anna,Alternative,Nederlands
80cf2aaf-e610-5f6e-84fc-f7b67117e9b6,organisation,2,Huize Sint-Anna,Alternative,Nederlands
e9a88519-a5fc-5135-bd46-1eaa2f44b7c8,organisation,2,Klooster H. Paulus,Alternative,Nederlands
e9a88519-a5fc-5135-bd46-1eaa2f44b7c8,organisation,2,Huize Paulus,Alternative,Nederlands
e9a88519-a5fc-5135-bd46-1eaa2f44b7c8,organisation,2,Huis Paulus,Alternative,Nederlands
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,Antonius Abtkerk,Alternative,Nederlands
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,H. Antonius Abtkerk,Alternative,Nederlands
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,St. Antoniuskerk,Alternative,Nederlands
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,Sint Antoniuskerk,Alternative,Nederlands
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,Heilige Antonius Abtkerk,Alternative,Nederlands
14125640-91d7-5f93-a492-37771c360398,organisation,2,Lambertuskerk,Alternative,Nederlands
14125640-91d7-5f93-a492-37771c360398,organisation,2,Sint Lambertuskerk,Alternative,Nederlands
14125640-91d7-5f93-a492-37771c360398,organisation,2,St. Lambertuskerk,Alternative,Nederlands
14125640-91d7-5f93-a492-37771c360398,organisation,2,R.K. Sint-Lambertuskerk,Alternative,Nederlands
14125640-91d7-5f93-a492-37771c360398,organisation,2,RK Sint-Lambertuskerk,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,Lambertus,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,Sint Lambertuskerk,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,St. Lambertuskerk,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,Heilige Lambertuskerk,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,R.K. Kerk H. Lambertus,Alternative,Nederlands
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,H. Lambertuskerk,Alternative,Nederlands
080233b4-2c32-5aed-9106-e8e8f0f826d5,organisation,2,Lambertuskerk,Alternative,Nederlands
080233b4-2c32-5aed-9106-e8e8f0f826d5,organisation,2,Sint Lambertuskerk,Alternative,Nederlands
