ResourceID,card,card_order,consecration_activity_religion
80cf2aaf-e610-5f6e-84fc-f7b67117e9b6,organisation,2,Rooms-Katholieke Kerk
e9a88519-a5fc-5135-bd46-1eaa2f44b7c8,organisation,2,Rooms-Katholieke Kerk
9cb122eb-48af-5b86-90fc-3fe1584916ef,organisation,2,Rooms-Katholieke Kerk
14125640-91d7-5f93-a492-37771c360398,organisation,2,Rooms-Katholieke Kerk
bf72dba4-2346-5678-8278-a1793378d325,organisation,2,Rooms-Katholieke Kerk
080233b4-2c32-5aed-9106-e8e8f0f826d5,organisation,2,Rooms-Katholieke Kerk
0369457a-1c0c-5f89-a012-91cf3b2e00d1,organisation,2,Rooms-Katholieke Kerk
168996a1-0945-511e-9d8e-5d6d5839d16f,organisation,2,Rooms-Katholieke Kerk
1ddb924e-52eb-5c53-b3e1-24cdc662dccf,organisation,2,Rooms-Katholieke Kerk
6fa89b6b-3d27-5d46-ae8a-bf629a86af74,organisation,2,Rooms-Katholieke Kerk
ba899f98-bc47-5a53-81f0-af3abf70c7ff,organisation,2,Rooms-Katholieke Kerk
c35bb424-9523-5bf7-83ea-5cd6dcc201ba,organisation,2,Rooms-Katholieke Kerk
54b63d3d-bd21-5315-b7ca-e934f61869fa,organisation,2,Rooms-Katholieke Kerk
bd87ee38-61a7-5dc2-a58d-7b1cc8da799a,organisation,2,Rooms-Katholieke Kerk
cc183b24-1fe5-5406-b044-487c120130c3,organisation,2,Rooms-Katholieke Kerk
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,Rooms-Katholieke Kerk
9deb5b21-8443-5b19-9aee-2cb366664219,organisation,2,Rooms-Katholieke Kerk
430a0b70-60ce-5f05-84d4-550c8eff096a,organisation,2,Rooms-Katholieke Kerk
7e2e5ea1-4361-56f5-9a85-47e4eac4d564,organisation,2,Rooms-Katholieke Kerk
da94c65a-320a-5bb8-a653-b397dfce9128,organisation,2,Rooms-Katholieke Kerk
6b8e886e-c746-5a0d-943f-2ced1df5033a,organisation,2,Rooms-Katholieke Kerk
b00a84a5-9dc5-5b91-b7e7-4101db08db3f,organisation,2,Rooms-Katholieke Kerk
09130809-a37a-5be6-b7a3-dc0911cf1256,organisation,2,Rooms-Katholieke Kerk
a156e765-6b2c-5aaa-8226-dfddce71b1bc,organisation,2,Rooms-Katholieke Kerk
5fcc269d-ce15-5154-85a0-0fb0ac3c4975,organisation,2,Rooms-Katholieke Kerk
07e09d81-f12c-5a3c-bd91-c01d83a4ec60,organisation,2,Rooms-Katholieke Kerk
8dafeefc-c17e-5fcf-880a-329bcb087382,organisation,2,Rooms-Katholieke Kerk
bffcc106-2250-567b-975a-865b4b614c6e,organisation,2,Rooms-Katholieke Kerk
10e4537d-5299-5dc8-995c-308d11136415,organisation,2,Rooms-Katholieke Kerk
513a35f9-bf69-53fd-be8a-5d8bc9f971ee,organisation,2,Rooms-Katholieke Kerk
