ResourceID,card,card_order,material_production_event_actor,material_production_event_actor_role,id
80cf2aaf-e610-5f6e-84fc-f7b67117e9b6,organisation,2,"[{""resourceId"": ""42532821-513f-5350-a0cb-57ce5e11b92a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e5c1e6b-ac81-5a4f-967c-e799cdf74e01"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471
e9a88519-a5fc-5135-bd46-1eaa2f44b7c8,organisation,2,"[{""resourceId"": ""531f4e29-3bc1-5072-a5b2-61a5612c35e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""31044624-8cf9-5720-a1ad-e196b8c148db"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/9cc891f8-15a6-441b-aefa-da2b7f749b24
0369457a-1c0c-5f89-a012-91cf3b2e00d1,organisation,2,"[{""resourceId"": ""42532821-513f-5350-a0cb-57ce5e11b92a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e5c1e6b-ac81-5a4f-967c-e799cdf74e01"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471
168996a1-0945-511e-9d8e-5d6d5839d16f,organisation,2,"[{""resourceId"": ""42532821-513f-5350-a0cb-57ce5e11b92a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e5c1e6b-ac81-5a4f-967c-e799cdf74e01"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471
6fa89b6b-3d27-5d46-ae8a-bf629a86af74,organisation,2,"[{""resourceId"": ""42532821-513f-5350-a0cb-57ce5e11b92a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e5c1e6b-ac81-5a4f-967c-e799cdf74e01"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471
ba899f98-bc47-5a53-81f0-af3abf70c7ff,organisation,2,"[{""resourceId"": ""531f4e29-3bc1-5072-a5b2-61a5612c35e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""31044624-8cf9-5720-a1ad-e196b8c148db"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/9cc891f8-15a6-441b-aefa-da2b7f749b24
c35bb424-9523-5bf7-83ea-5cd6dcc201ba,organisation,2,"[{""resourceId"": ""42532821-513f-5350-a0cb-57ce5e11b92a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8e5c1e6b-ac81-5a4f-967c-e799cdf74e01"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471
54b63d3d-bd21-5315-b7ca-e934f61869fa,organisation,2,"[{""resourceId"": ""782de6b5-f42b-52f6-99f5-cca3a732d84d"", ""ontologyProperty"": """", ""resourceXresourceId"": ""8f38b8e4-5a66-5abe-9d0c-1051b504f0b8"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/94e8330e-aea1-4400-a869-5a03b7be4af5
bd87ee38-61a7-5dc2-a58d-7b1cc8da799a,organisation,2,"[{""resourceId"": ""27e9a889-0461-57c9-bfa8-1d11f295b493"", ""ontologyProperty"": """", ""resourceXresourceId"": ""861cf18f-ac41-51ff-bee0-f1bbc964ca21"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/6e6b3547-c126-4425-b6cb-a4afdbb691ad
cc183b24-1fe5-5406-b044-487c120130c3,organisation,2,"[{""resourceId"": ""531f4e29-3bc1-5072-a5b2-61a5612c35e0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""31044624-8cf9-5720-a1ad-e196b8c148db"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/9cc891f8-15a6-441b-aefa-da2b7f749b24
ca9460cb-7b9a-52ac-abd0-ce84a1ab69dd,organisation,2,"[{""resourceId"": ""7d309022-f075-56ac-a9b9-dcb5048b12cb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a41444ca-6edf-57d9-b26a-a40ad531c2c4"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/52634174-2d54-470a-8ff7-9e8eeba37a8c
9deb5b21-8443-5b19-9aee-2cb366664219,organisation,2,"[{""resourceId"": ""7d309022-f075-56ac-a9b9-dcb5048b12cb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a41444ca-6edf-57d9-b26a-a40ad531c2c4"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/52634174-2d54-470a-8ff7-9e8eeba37a8c
430a0b70-60ce-5f05-84d4-550c8eff096a,organisation,2,"[{""resourceId"": ""7d309022-f075-56ac-a9b9-dcb5048b12cb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a41444ca-6edf-57d9-b26a-a40ad531c2c4"", ""inverseOntologyProperty"": """"}]",Comissioner,https://n2t.net/ark:/15052/52634174-2d54-470a-8ff7-9e8eeba37a8c
