ResourceID,card,card_order,location_address_street,location_address_city,location_coordinates_geo_json,location_place
b746c24c-7a94-527b-8428-3b4bf01e5cef,place,5,Oude Peelstraat 1,Helenaveen,Point(5.9188 51.3885),"[{""resourceId"": ""547d5215-1415-55cc-b650-9bff17321649"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9466e262-5ddf-5816-adb4-8f4c7c94f5a5"", ""inverseOntologyProperty"": """"}]"
4848283e-669b-5d45-82c3-fc731b5603ed,place,5,Strijpsestraat 144,Eindhoven,Point(5.4575 51.4409),"[{""resourceId"": ""e39e761f-1486-5098-a3c4-3f164ab7be68"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7889a0d1-bbd1-5505-aead-256b5980e07a"", ""inverseOntologyProperty"": """"}]"
1dcddae3-52f4-5595-81cb-a3c6934fb032,place,5,Kerkstraat 20,Overlangel,Point(5.6731 51.7755),"[{""resourceId"": ""9959baf7-fb1a-5293-91e5-6ceec3f8d400"", ""ontologyProperty"": """", ""resourceXresourceId"": ""53d1e859-0fd8-5999-9594-32ac58eddc73"", ""inverseOntologyProperty"": """"}]"
4615c838-ac97-55b8-b8c0-0a23ada086e1,place,5,Hamstraat 1,Huisseling,Point(5.641 51.7878),"[{""resourceId"": ""6d49103a-1df1-5f30-a579-f3f88322304f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""634f795e-3135-51e5-bbd9-61d9b0fb817d"", ""inverseOntologyProperty"": """"}]"
85fd98ea-be01-5187-9254-6ecf4b9d4385,place,5,Antoon Coolenplein 3,Lith,Point(5.4389 51.8067),"[{""resourceId"": ""0ca3cb5a-81dc-5f29-9ce7-4156c71bbb6f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bd052553-b6ab-5f5a-b031-2365bf05920e"", ""inverseOntologyProperty"": """"}]"
ab3cf4bf-e097-5181-a0ff-a76a58540673,place,5,Pastoor Roesweg 2,Maren-Kessel,Point(5.3936 51.7962),"[{""resourceId"": ""71627788-bba6-58ce-a084-499b20bb4484"", ""ontologyProperty"": """", ""resourceXresourceId"": ""862cdcf7-a49a-57dc-a635-7105e4843829"", ""inverseOntologyProperty"": """"}]"
ec922b15-2837-5ddf-a083-86fdfc8c30fa,place,5,Dorpstraat 22,Veldhoven,Point(5.398 51.4039),"[{""resourceId"": ""c661819b-3eb4-5a57-9023-0d0d11d853a8"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7a73ebaa-0d4f-5cff-9657-d6876a1942f3"", ""inverseOntologyProperty"": """"}]"
e201f4f1-2eed-5f11-bf6c-9a045e9e036f,place,5,Dorpstraat 10,Wanroij,Point(5.8205 51.6565),"[{""resourceId"": ""e74bb9d8-5a42-5aca-b6cf-e76fa1e373c0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ecda9b42-1c1e-5dbb-99a8-4d6551d6cee3"", ""inverseOntologyProperty"": """"}]"
f4349104-671f-5b55-9489-04f5e14baae5,place,5,Bernhardweg 4,Oijen,Point(5.5028 51.825),"[{""resourceId"": ""48605d7b-6c1b-5fbb-be08-7893054fafe4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""942b5065-f057-5cd9-b8da-b1ae55df57d9"", ""inverseOntologyProperty"": """"}]"
76904271-d52e-5982-bff5-80e836ce41bd,place,5,Pastoor van Hapertstraat,Lith,,"[{""resourceId"": ""0ca3cb5a-81dc-5f29-9ce7-4156c71bbb6f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bd052553-b6ab-5f5a-b031-2365bf05920e"", ""inverseOntologyProperty"": """"}]"
bf9cfc09-484e-5f1d-8c37-aa8d0ee163f6,place,5,Oude Kerkstraat 2,Dussen,Point(4.9628 51.7287),"[{""resourceId"": ""b3849556-647a-5c12-b284-3e1c1b1d1342"", ""ontologyProperty"": """", ""resourceXresourceId"": ""56113d5b-e8c7-5e76-8e67-3afbd239c16b"", ""inverseOntologyProperty"": """"}]"
0bbda934-6486-5d87-bbcf-b765c48ffd80,place,5,Markt 60,Etten-Leur,Point(4.6351 51.5712),"[{""resourceId"": ""8cd31d96-b89c-58e1-999d-07060bef4d69"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7fbf0f9f-dbc4-5701-94fa-165aa8018258"", ""inverseOntologyProperty"": """"}]"
561a3392-05e9-51b9-9fab-1c54c935dd96,place,5,Antoniegaarde,'s-Hertogenbosch,,"[{""resourceId"": ""c505eba4-4331-5770-b84d-0f424b92a494"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ed23351-07fb-5d43-9ea8-703d0e277fd8"", ""inverseOntologyProperty"": """"}]"
094523dd-fd0c-5e96-92e7-2b5a46e75653,place,5,Koningsplein 1,Asten,Point(5.7446 51.4031),"[{""resourceId"": ""dd47c2cd-b90a-5b95-90da-80f740eb0279"", ""ontologyProperty"": """", ""resourceXresourceId"": ""85166e75-d49a-52b5-9448-274ba724646b"", ""inverseOntologyProperty"": """"}]"
67cad17e-efdd-5c5b-bff6-9ed6529560db,place,5,Heuvelstraat 3,Alphen,Point(4.9541 51.4844),"[{""resourceId"": ""cac4f8a9-d7a9-50be-b1d2-b410ea6da7a4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ebeea2a5-986d-5422-81b0-152e0d9f3c0b"", ""inverseOntologyProperty"": """"}]"
fde4a66b-6f88-58b4-9ef4-f408a1b92576,place,5,Gilzeweg 12,Chaam,Point(4.8629 51.5066),"[{""resourceId"": ""6de61315-0622-57cc-8057-fd1ae1118059"", ""ontologyProperty"": """", ""resourceXresourceId"": ""45d9a386-2148-59ea-91fa-2952a4e45e9e"", ""inverseOntologyProperty"": """"}]"
3b6a30cb-2199-5cff-bc27-d276c2d08af8,place,5,Ceresstraat 2a,Breda,Point(4.7859 51.5943),"[{""resourceId"": ""55aac96c-5cc7-5ec0-9d3b-2f1c141c45d4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a47015f2-bf37-5d82-b954-86f8f96a831d"", ""inverseOntologyProperty"": """"}]"
788c3f44-11e7-5554-a868-0c77d230fb7c,place,5,Kloosterstraat 30,Deurne,Point(5.7837 51.4517),"[{""resourceId"": ""fb5a7ea0-554b-5c6c-ac5e-166e0884cd5f"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a6c95a1d-ac7f-56fd-b680-dd144bf21ba1"", ""inverseOntologyProperty"": """"}]"
6feb610c-5429-524c-906d-abb5c7aecee3,place,5,Raadhuisstraat 3,Gilze,Point(4.9442 51.5415),"[{""resourceId"": ""c9d41f6b-c46e-5a1d-ae7b-98fa60aa2f0e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""e69b2375-5e70-5819-b80a-44134cb1cac7"", ""inverseOntologyProperty"": """"}]"
7ab669f4-6626-5df6-8a9d-c5d39f76c941,place,5,Van Gilselaan 51-53,Roosendaal,Point(4.4711 51.5334),"[{""resourceId"": ""8710ff95-6d61-5e7e-bbcc-6445a2e39d38"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38bed115-11c5-5777-b030-55898fdeaee2"", ""inverseOntologyProperty"": """"}]"
f5ecdb86-59ee-564c-944c-70c08df2dccb,place,5,Dorpsstraat 73b,Riel,Point(5.0229 51.5293),"[{""resourceId"": ""569d9c41-e6fd-55c8-945f-9706bac28124"", ""ontologyProperty"": """", ""resourceXresourceId"": ""407abf71-67db-59b7-9f72-068588fe8d5c"", ""inverseOntologyProperty"": """"}]"
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,place,5,Wilhelminastraat 24,Asten,Point(5.7427 51.4024),"[{""resourceId"": ""dd47c2cd-b90a-5b95-90da-80f740eb0279"", ""ontologyProperty"": """", ""resourceXresourceId"": ""85166e75-d49a-52b5-9448-274ba724646b"", ""inverseOntologyProperty"": """"}]"
79d173c0-e0e7-5da4-a64c-48643cdd3387,place,5,Dorpsstraat 89,Halsteren,Point(4.2724 51.5226),"[{""resourceId"": ""8e0b848d-14b5-5d5d-bd6b-388e3370dbef"", ""ontologyProperty"": """", ""resourceXresourceId"": ""3e8000f7-d79d-5c6e-8953-8e98742e97f8"", ""inverseOntologyProperty"": """"}]"
661c4764-f686-5f24-bf5a-90ecd79e6b9f,place,5,Kloosterdreef 25,Eindhoven,Point(5.4711 51.4545),"[{""resourceId"": ""e39e761f-1486-5098-a3c4-3f164ab7be68"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7889a0d1-bbd1-5505-aead-256b5980e07a"", ""inverseOntologyProperty"": """"}]"
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,place,5,Rodenborchweg 13,Rosmalen,Point(5.3653 51.7187),"[{""resourceId"": ""a436352c-d052-55a0-828a-360a84008991"", ""ontologyProperty"": """", ""resourceXresourceId"": ""531f0ce0-f6ab-57c6-9ca5-029d1a0b8432"", ""inverseOntologyProperty"": """"}]"
a763afeb-1f19-54a9-a80a-5c7117aad34a,place,5,Rector Hellemonsstraat 1,Roosendaal,Point(4.476 51.5439),"[{""resourceId"": ""8710ff95-6d61-5e7e-bbcc-6445a2e39d38"", ""ontologyProperty"": """", ""resourceXresourceId"": ""38bed115-11c5-5777-b030-55898fdeaee2"", ""inverseOntologyProperty"": """"}]"
86a4478d-ae19-5e32-be07-93b184b3eb31,place,5,Kloosterstraat / Kruisstraat,Ommel,Point(5.749 51.4222),"[{""resourceId"": ""3365c6c5-c4da-5c75-a0d9-363a67709f40"", ""ontologyProperty"": """", ""resourceXresourceId"": ""85e3426d-37dc-51c3-8949-a914558390e7"", ""inverseOntologyProperty"": """"}]"
b283fae0-960b-5fb1-b590-7761c15c4b1c,place,5,Wilhelminastraat 27,Asten,Point(5.742 51.4004),"[{""resourceId"": ""dd47c2cd-b90a-5b95-90da-80f740eb0279"", ""ontologyProperty"": """", ""resourceXresourceId"": ""85166e75-d49a-52b5-9448-274ba724646b"", ""inverseOntologyProperty"": """"}]"
04e13232-3bba-5f58-afb8-a5e5714c56fe,place,5,Kerkstraat 7,Baarle-Hertog,Point(4.9296 51.4418),"[{""resourceId"": ""8275b9e6-029d-44cd-b4c0-3807682ec2a2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bedf66f4-14ca-58bf-bace-d3da76aff5b8"", ""inverseOntologyProperty"": """"}]"
55aeb5be-eb37-5826-b79e-4bcf8aea2ebf,place,5,Dorpsplein 27,Lage Mierde,Point(5.149 51.4062),"[{""resourceId"": ""665ddb39-31d1-512b-bc19-51a7a8a47723"", ""ontologyProperty"": """", ""resourceXresourceId"": ""796d3ecf-e287-5b0c-bf34-051230b66af7"", ""inverseOntologyProperty"": """"}]"
30166cdb-4bf5-57f9-bd79-102ec88f9ead,place,5,Pastoor de Katerstraat 5,Baarle-Hertog,Point(4.9256 51.4417),"[{""resourceId"": ""8275b9e6-029d-44cd-b4c0-3807682ec2a2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""bedf66f4-14ca-58bf-bace-d3da76aff5b8"", ""inverseOntologyProperty"": """"}]"
2e8623c5-2195-597d-bab6-44229b9a9ad0,place,5,Grens 23,Baarle-Nassau,Point(4.9412 51.4059),"[{""resourceId"": ""72ba2539-afe7-57b8-8975-7f8d4034f52e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0eb21df2-4a06-5ec9-b195-e00e3fa04767"", ""inverseOntologyProperty"": """"}]"
67ac1ba1-e38a-5a4f-8faa-7580179e7542,place,5,Rector van de Broekstraat 1,Baarle-Nassau,Point(4.9291 51.445),"[{""resourceId"": ""72ba2539-afe7-57b8-8975-7f8d4034f52e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0eb21df2-4a06-5ec9-b195-e00e3fa04767"", ""inverseOntologyProperty"": """"}]"
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,place,5,Dorpstraat 46,Ulicoten,Point(4.858 51.4575),"[{""resourceId"": ""8478afb0-67dd-5197-bd78-ab377dc206e5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9dee1f87-f73c-526c-8db9-d3de882877cb"", ""inverseOntologyProperty"": """"}]"
bf805dd7-0bcf-5b41-9d69-0103f45730c5,place,5,Bredaseweg 39,Baarle-Nassau,Point(4.9022 51.469),"[{""resourceId"": ""72ba2539-afe7-57b8-8975-7f8d4034f52e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0eb21df2-4a06-5ec9-b195-e00e3fa04767"", ""inverseOntologyProperty"": """"}]"
8b61594e-e3e8-599b-8ace-a25c80f21c1d,place,5,Nieuwstraat 14-16,Baarle-Nassau,Point(4.9288 51.4437),"[{""resourceId"": ""72ba2539-afe7-57b8-8975-7f8d4034f52e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0eb21df2-4a06-5ec9-b195-e00e3fa04767"", ""inverseOntologyProperty"": """"}]"
5f4db804-08b2-5260-b49a-c8737d99fafa,place,5,Eerselsedijk 2,Bergeijk,Point(5.3607 51.3235),"[{""resourceId"": ""ab5f4d66-3cf4-50a5-9640-0c11456322dd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f5b9bc26-2095-530e-96ea-c0b73a12a541"", ""inverseOntologyProperty"": """"}]"
8f71b74d-e27a-560f-9af4-af4bbcd564e1,place,5,’t Hof 25,Bergeijk,Point(5.358 51.3222),"[{""resourceId"": ""ab5f4d66-3cf4-50a5-9640-0c11456322dd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f5b9bc26-2095-530e-96ea-c0b73a12a541"", ""inverseOntologyProperty"": """"}]"
8f156433-af36-59fc-81e6-0cc4f2188fb0,place,5,Dr. Rauppstraat 19,Bergeijk,Point(5.3606 51.3197),"[{""resourceId"": ""ab5f4d66-3cf4-50a5-9640-0c11456322dd"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f5b9bc26-2095-530e-96ea-c0b73a12a541"", ""inverseOntologyProperty"": """"}]"
37908230-ffe2-5054-a910-743baf57896c,place,5,Orthen 113,'s-Hertogenbosch,Point(5.2938 51.7115),"[{""resourceId"": ""c505eba4-4331-5770-b84d-0f424b92a494"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ed23351-07fb-5d43-9ea8-703d0e277fd8"", ""inverseOntologyProperty"": """"}]"
67e877db-14c3-57b8-89e1-6628b0d5d354,place,5,Hintham 14a-16,'s-Hertogenbosch,Point(5.3354 51.7005),"[{""resourceId"": ""c505eba4-4331-5770-b84d-0f424b92a494"", ""ontologyProperty"": """", ""resourceXresourceId"": ""7ed23351-07fb-5d43-9ea8-703d0e277fd8"", ""inverseOntologyProperty"": """"}]"
b8fefe14-beb7-54d4-8677-606fc0bffc5c,place,5,Kerkstraat 56,Luyksgestel,Point(5.3211 51.289),"[{""resourceId"": ""3c98bc9f-4573-57e3-a373-b152791e14d4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""a0777832-ed3e-5b3c-b7a9-2d4549fbd1b5"", ""inverseOntologyProperty"": """"}]"
