ResourceID,card,card_order,production_event_timespan_start
b746c24c-7a94-527b-8428-3b4bf01e5cef,production_date,12,31-7-1883
4848283e-669b-5d45-82c3-fc731b5603ed,production_date,12,1909
1dcddae3-52f4-5595-81cb-a3c6934fb032,production_date,12,1854
4615c838-ac97-55b8-b8c0-0a23ada086e1,production_date,12,1911
85fd98ea-be01-5187-9254-6ecf4b9d4385,production_date,12,1899
ab3cf4bf-e097-5181-a0ff-a76a58540673,production_date,12,1951
ec922b15-2837-5ddf-a083-86fdfc8c30fa,production_date,12,1899
e201f4f1-2eed-5f11-bf6c-9a045e9e036f,production_date,12,1889
f4349104-671f-5b55-9489-04f5e14baae5,production_date,12,1964
76904271-d52e-5982-bff5-80e836ce41bd,production_date,12,1874
bf9cfc09-484e-5f1d-8c37-aa8d0ee163f6,production_date,12,19e eeuw
8737916f-bd20-5cbb-b66a-ebdd51bceadd,production_date,12,1909
0bbda934-6486-5d87-bbcf-b765c48ffd80,production_date,12,1885
561a3392-05e9-51b9-9fab-1c54c935dd96,production_date,12,2e millennium
094523dd-fd0c-5e96-92e7-2b5a46e75653,production_date,12,1867
67cad17e-efdd-5c5b-bff6-9ed6529560db,production_date,12,2e millennium
fde4a66b-6f88-58b4-9ef4-f408a1b92576,production_date,12,1882
3b6a30cb-2199-5cff-bc27-d276c2d08af8,production_date,12,1913
788c3f44-11e7-5554-a868-0c77d230fb7c,production_date,12,1937
6feb610c-5429-524c-906d-abb5c7aecee3,production_date,12,2e millennium
7ab669f4-6626-5df6-8a9d-c5d39f76c941,production_date,12,1910
f5ecdb86-59ee-564c-944c-70c08df2dccb,production_date,12,1920
7b4c84b1-2a4d-5271-87ff-7dfd4f8ed915,production_date,12,20e eeuw
79d173c0-e0e7-5da4-a64c-48643cdd3387,production_date,12,2e millennium
661c4764-f686-5f24-bf5a-90ecd79e6b9f,production_date,12,1880
33ea0f4f-61dc-54e1-b7a3-04b19388eb2b,production_date,12,1872
a763afeb-1f19-54a9-a80a-5c7117aad34a,production_date,12,1939
86a4478d-ae19-5e32-be07-93b184b3eb31,production_date,12,1539
b283fae0-960b-5fb1-b590-7761c15c4b1c,production_date,12,1870
833ff3c7-0eee-5c9c-a7e6-c4f82214272e,production_date,12,1918
04e13232-3bba-5f58-afb8-a5e5714c56fe,production_date,12,1879
55aeb5be-eb37-5826-b79e-4bcf8aea2ebf,production_date,12,14-7-1903
30166cdb-4bf5-57f9-bd79-102ec88f9ead,production_date,12,1843
2e8623c5-2195-597d-bab6-44229b9a9ad0,production_date,12,3-1913
67ac1ba1-e38a-5a4f-8faa-7580179e7542,production_date,12,1959
89b3e404-2815-5e9c-9c3f-aedfe43d2a73,production_date,12,1909
bf805dd7-0bcf-5b41-9d69-0103f45730c5,production_date,12,1890
8b61594e-e3e8-599b-8ace-a25c80f21c1d,production_date,12,22-7-1917
5f4db804-08b2-5260-b49a-c8737d99fafa,production_date,12,2e millennium
8f71b74d-e27a-560f-9af4-af4bbcd564e1,production_date,12,8-3-1896
8f156433-af36-59fc-81e6-0cc4f2188fb0,production_date,12,20e eeuw
37908230-ffe2-5054-a910-743baf57896c,production_date,12,19e eeuw
67e877db-14c3-57b8-89e1-6628b0d5d354,production_date,12,1868
b8fefe14-beb7-54d4-8677-606fc0bffc5c,production_date,12,1933
7fbab965-3fa4-5485-9273-d944ccb14c24,production_date,12,1880
99f05725-5c7f-5838-82d3-95dc48b7e721,production_date,12,1900
c6da3e83-5c38-5ee4-be71-3a851e2deba2,production_date,12,2e millennium
7156e283-80fa-5a7d-b53e-d5825f02f52e,production_date,12,1912
06a1ed02-a387-58c0-a7c4-f7396d6c54ae,production_date,12,1903
2445104b-fcb9-5bd8-bd4d-b7b54aa4afd4,production_date,12,1904
d1649ae5-cf37-5a9f-807b-28001d47391b,production_date,12,2e millennium
f4e1e51a-53ea-5c04-b228-eae5a0601f0d,production_date,12,18e eeuw
7f59f8e5-0be2-5085-94f5-20081b90fb68,production_date,12,20e eeuw
67eb23ab-8f56-55ed-b307-41dcb04db714,production_date,12,20e eeuw
0fed3614-8444-55eb-bf33-641c2c2a5687,production_date,12,16e eeuw
6352190c-e4d7-5e69-9119-a932a683bb6f,production_date,12,1871
81f6c8c8-f03d-5083-9b47-ba96c20979ee,production_date,12,13-6-1893
7a22b8c8-2adb-5ed0-86e7-f505ba04e42d,production_date,12,1892
9c8f1f1b-873b-5b65-b52e-aa5a1ede4b1a,production_date,12,jaren 1850
96f02bba-3524-5b54-ab14-192c240f5247,production_date,12,1838
2fc980e2-6278-5191-b4ca-7a98ddf53c01,production_date,12,1930
a481b6d0-9a31-5dce-8ecd-29bd6e67b963,production_date,12,1896
1eb14e94-7838-573c-a3f1-0505f336a64c,production_date,12,1869
b8999f7a-c9d4-549d-9600-187a0477f92e,production_date,12,1865
488455dd-6204-5aae-8311-7adab9dda5c3,production_date,12,10-5-1913
e4356c6f-a094-539c-a49d-5a59e85a7040,production_date,12,1894
ecaae3eb-fcd2-5c3c-9383-369ebf670966,production_date,12,1921
a97b6d9e-95ee-5144-aef8-bd0e943ff9ac,production_date,12,18e eeuw
9d09fea6-a695-56d7-a543-1460532dd95e,production_date,12,1873
7bf2b761-e260-5ddd-bedc-fad053317224,production_date,12,19e eeuw
36a98c9d-81c5-51cd-916a-ee5283a59f62,production_date,12,10-12-1849
abffb6ee-bc72-5c76-8f4e-eb547a163893,production_date,12,1926
aa15d32e-a137-5c84-93d1-1e49235d6734,production_date,12,1905
23de63d5-406e-5dc2-9af7-c262d5699ac9,production_date,12,1928
f4f1ea35-6773-5e64-adfd-c543757165b5,production_date,12,1867
bb255d91-0e7d-53f1-9562-54f62e8ea96a,production_date,12,18-4-1958
f6431dec-8ff4-5547-84a2-ce9959d581ff,production_date,12,1912
c0171b25-75dd-5029-8761-1996ec6c0119,production_date,12,2e millennium
ba0b60b9-2f62-53bc-8f4a-901b75ac5d07,production_date,12,1930
823f9b0b-91fc-5aee-bdbf-7da62bc48b2e,production_date,12,1888
ea30d598-bf5c-5558-ac63-6072a3beb7d5,production_date,12,1872
