ResourceID,id,card,card_order,alternative_name_content,alternative_name_content_type,alternative_name_content_language
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,Zusters Franciscanessen,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,Franciscanessen van Veghel SFIC,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,Zusters Franciscanessen der Onbevlekte Ontvangenis van de Heilige Moeder Gods,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,Franciscan Sisters of the Immaculate Conception,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,Zusters Franciscanessen SFIC,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,S.F.I.C.,Alternative,Nederlands
42532821-513f-5350-a0cb-57ce5e11b92a,http://www.wikidata.org/entity/Q83546129,alternate_names,1,SFIC,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,"Sorores Caritatis Matris Misericordiae, S.C.M.M.",Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,"Zusters van Liefde van Onze Lieve Vrouw, Moeder van Barmhartigheid",Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,Zusters van Liefde van Onze Lieve Vrouwe van Barmhartigheid SCMM,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,Zusters van Tilburg,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,Zusters van Liefde van O.L.V. Moeder van Barmhartigheid,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,S.C.M.M.,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,SCMM,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,De Zusters van Liefde van Tilburg,Alternative,Nederlands
531f4e29-3bc1-5072-a5b2-61a5612c35e0,http://www.wikidata.org/entity/Q2125209,alternate_names,1,De Zusters van Liefde van Tilburg SCMM,Alternative,Nederlands
782de6b5-f42b-52f6-99f5-cca3a732d84d,,alternate_names,1,Catechisten van de Eucharistische Kruistocht,Alternative,Nederlands
782de6b5-f42b-52f6-99f5-cca3a732d84d,,alternate_names,1,Vereniging van Catechisten,Alternative,Nederlands
27e9a889-0461-57c9-bfa8-1d11f295b493,http://www.wikidata.org/entity/Q2251726,alternate_names,1,Zusters van Barmhartigheid (van Ronse),Alternative,Nederlands
27e9a889-0461-57c9-bfa8-1d11f295b493,http://www.wikidata.org/entity/Q2251726,alternate_names,1,Zusters van Ronse,Alternative,Nederlands
27e9a889-0461-57c9-bfa8-1d11f295b493,http://www.wikidata.org/entity/Q2251726,alternate_names,1,Zusters van Barmhartigheid van Ronse,Alternative,Nederlands
7d309022-f075-56ac-a9b9-dcb5048b12cb,http://www.wikidata.org/entity/Q7477326,alternate_names,1,Penitenten-Recollectinen van de Reforme van Limburg,Alternative,Nederlands
7d309022-f075-56ac-a9b9-dcb5048b12cb,http://www.wikidata.org/entity/Q7477326,alternate_names,1,P.R.,Alternative,Nederlands
7d309022-f075-56ac-a9b9-dcb5048b12cb,http://www.wikidata.org/entity/Q7477326,alternate_names,1,PR,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,S.S.C.J.,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,Sorores Sanctissimi Cordis Jesu,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,SSCJ,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,Zusters van Moerdijk,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,Zusters van het Allerheiligst H. Hart van Jezus SSCJ,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,Zusters van het Allerheiligst Heilig Hart van Jezus SSCJ,Alternative,Nederlands
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,http://www.wikidata.org/entity/Q2109226,alternate_names,1,Zusters van het Heilig Hart,Alternative,Nederlands
a2312c32-1a3d-5178-9a09-13a30628259d,http://www.wikidata.org/entity/Q2174496,alternate_names,1,Franciscanessen van Mariadal PR,Alternative,Nederlands
a2312c32-1a3d-5178-9a09-13a30628259d,http://www.wikidata.org/entity/Q2174496,alternate_names,1,Franciscanessen van Roosendaal,Alternative,Nederlands
a2312c32-1a3d-5178-9a09-13a30628259d,http://www.wikidata.org/entity/Q2174496,alternate_names,1,Franciscanessen ‘Mariadal’,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,Gutjesnonnen,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,Dochters van O.L. Vrouw van het Heilig Hart FDNSC,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,FDNSC,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,Filia Dominae Nostrae a Sacro Corde,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,F.D.N.S.C.,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,Dochters OLV H. Hart,Alternative,Nederlands
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,http://www.wikidata.org/entity/Q2165573,alternate_names,1,Dochters van Onze Lieve Vrouw van het Heilig Hart FDNSC,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,Priesters van het Heilig Hart van Jezus SCJ,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,Priesters van het H. Hart van Jezus,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,Priestercongregatie van het H. Hart van Jezus,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,Priestercongregatie van het Heilig Hart van Jezus,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,S.C.I.,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,S.C.J.,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,SCI,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,SCJ,Alternative,Nederlands
2d6cb0d2-bbca-56e1-874d-110f790cca20,http://www.wikidata.org/entity/Q1183068,alternate_names,1,Priesters van het H. Hart van Jezus SCJ,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Zusters van Schijndel,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Congregatie van de Zusters van Liefde,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Congregatie Zusters van Liefde,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Zusters van Liefde van Schijndel,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Zusters van Liefde (Schijndel),Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,Zusters van Liefde van Jezus en Maria van Goede Bijstand,Alternative,Nederlands
02d58f50-7128-527d-9856-605885034bfe,https://www.wikidata.org/entity/Q2438265,alternate_names,1,"Zusters van Liefde van Jezus en Maria, Troosteres der Bedrukten",Alternative,Nederlands
5e270727-0bf2-5000-a583-a10ee8e0e51b,http://www.wikidata.org/entity/Q114769572,alternate_names,1,Missiezusters van Asten,Alternative,Nederlands
5e270727-0bf2-5000-a583-a10ee8e0e51b,http://www.wikidata.org/entity/Q114769572,alternate_names,1,Franciscanessen van Asten,Alternative,Nederlands
5e270727-0bf2-5000-a583-a10ee8e0e51b,http://www.wikidata.org/entity/Q114769572,alternate_names,1,Missiezusters Franciscanessen van de H. Antonius van Padua,Alternative,Nederlands
015e07c9-dd99-53c3-8d46-e9389c59e16a,http://www.wikidata.org/entity/Q30301670,alternate_names,1,Dochters van O.L. Vrouw,Alternative,Nederlands
015e07c9-dd99-53c3-8d46-e9389c59e16a,http://www.wikidata.org/entity/Q30301670,alternate_names,1,Zusters van het Gezelschap van Maria,Alternative,Nederlands
015e07c9-dd99-53c3-8d46-e9389c59e16a,http://www.wikidata.org/entity/Q30301670,alternate_names,1,S.C.M.,Alternative,Nederlands
015e07c9-dd99-53c3-8d46-e9389c59e16a,http://www.wikidata.org/entity/Q30301670,alternate_names,1,SCM,Alternative,Nederlands
34268870-9a29-5635-bd64-6031668fda05,,alternate_names,1,Zusters Franciscanessen van Herentals,Alternative,Nederlands
34268870-9a29-5635-bd64-6031668fda05,,alternate_names,1,Franciscanessen van Sint-Josefdal te Herentals,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,M.Afr.,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,MAfr,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,P.A.,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,PA,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,Sociëteit der Missionarissen van Afrika,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,PB,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,Pères Blancs,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,WF,Alternative,Nederlands
860194da-b016-59c3-a816-9654bc342cb2,https://www.wikidata.org/entity/Q278165,alternate_names,1,White Fathers,Alternative,Nederlands
