ResourceID,card,card_order,name_content,name_content_type,name_content_language,identifier_content,organisation_type,alt_names,other_identifier_content,other_identifier_type
42532821-513f-5350-a0cb-57ce5e11b92a,religious_order,0,Franciscanessen van Veghel,Primary,Nederlands,https://n2t.net/ark:/15052/0a306ffd-cbaa-4361-a90d-37080645c471,Religious Order,"['Zusters Franciscanessen', 'Franciscanessen van Veghel SFIC', 'Zusters Franciscanessen der Onbevlekte Ontvangenis van de Heilige Moeder Gods', 'Franciscan Sisters of the Immaculate Conception', 'Zusters Franciscanessen SFIC', 'S.F.I.C.', 'SFIC']",http://www.wikidata.org/entity/Q83546129,"""Brabant Cloud ARK Identifier"""
531f4e29-3bc1-5072-a5b2-61a5612c35e0,religious_order,0,Zusters van Liefde van Tilburg,Primary,Nederlands,https://n2t.net/ark:/15052/9cc891f8-15a6-441b-aefa-da2b7f749b24,Religious Order,"['Sorores Caritatis Matris Misericordiae, S.C.M.M.', 'Zusters van Liefde van Onze Lieve Vrouw, Moeder van Barmhartigheid', 'Zusters van Liefde van Onze Lieve Vrouwe van Barmhartigheid SCMM', 'Zusters van Tilburg', 'Zusters van Liefde van O.L.V. Moeder van Barmhartigheid', 'S.C.M.M.', 'SCMM', 'De Zusters van Liefde van Tilburg', 'De Zusters van Liefde van Tilburg SCMM']",http://www.wikidata.org/entity/Q2125209,"""Brabant Cloud ARK Identifier"""
782de6b5-f42b-52f6-99f5-cca3a732d84d,religious_order,0,Catechisten van Breda,Primary,Nederlands,https://n2t.net/ark:/15052/94e8330e-aea1-4400-a869-5a03b7be4af5,Religious Order,"['Catechisten van de Eucharistische Kruistocht', 'Vereniging van Catechisten']",,
27e9a889-0461-57c9-bfa8-1d11f295b493,religious_order,0,Zusters van Barmhartigheid (Eindhoven),Primary,Nederlands,https://n2t.net/ark:/15052/6e6b3547-c126-4425-b6cb-a4afdbb691ad,Religious Order,"['Zusters van Barmhartigheid (van Ronse)', 'Zusters van Ronse', 'Zusters van Barmhartigheid van Ronse']",http://www.wikidata.org/entity/Q2251726,"""Brabant Cloud ARK Identifier"""
7d309022-f075-56ac-a9b9-dcb5048b12cb,religious_order,0,Franciscanessen van Dongen,Primary,Nederlands,https://n2t.net/ark:/15052/52634174-2d54-470a-8ff7-9e8eeba37a8c,Religious Order,"['Penitenten-Recollectinen van de Reforme van Limburg', 'P.R.', 'PR']",http://www.wikidata.org/entity/Q7477326,"""Brabant Cloud ARK Identifier"""
1f45c556-d5cd-5eaa-8503-ee9abf66f86e,religious_order,0,Zusters van het Allerheiligste Hart van Jezus,Primary,Nederlands,https://n2t.net/ark:/15052/6fd44889-82b5-4f25-ab6a-3079ca890cb1,Religious Order,"['S.S.C.J.', 'Sorores Sanctissimi Cordis Jesu', 'SSCJ', 'Zusters van Moerdijk', 'Zusters van het Allerheiligst H. Hart van Jezus SSCJ', 'Zusters van het Allerheiligst Heilig Hart van Jezus SSCJ', 'Zusters van het Heilig Hart']",http://www.wikidata.org/entity/Q2109226,"""Brabant Cloud ARK Identifier"""
a2312c32-1a3d-5178-9a09-13a30628259d,religious_order,0,Franciscanessen van Mariadal,Primary,Nederlands,https://n2t.net/ark:/15052/1bca3c7c-c66b-44d9-8f75-bbeef570e438,Religious Order,"['Franciscanessen van Mariadal PR', 'Franciscanessen van Roosendaal', 'Franciscanessen ‘Mariadal’']",http://www.wikidata.org/entity/Q2174496,"""Brabant Cloud ARK Identifier"""
fdeaf0dc-8646-5009-bc54-f43dde0fcbcc,religious_order,0,Dochters van Onze Lieve Vrouw van het Heilig Hart,Primary,Nederlands,https://n2t.net/ark:/15052/209bd9fa-9cd6-448e-b2f8-49b23e89775e,Religious Order,"['Gutjesnonnen', 'Dochters van O.L. Vrouw van het Heilig Hart FDNSC', 'FDNSC', 'Filia Dominae Nostrae a Sacro Corde', 'F.D.N.S.C.', 'Dochters OLV H. Hart', 'Dochters van Onze Lieve Vrouw van het Heilig Hart FDNSC']",http://www.wikidata.org/entity/Q2165573,"""Brabant Cloud ARK Identifier"""
2d6cb0d2-bbca-56e1-874d-110f790cca20,religious_order,0,Priesters van het Heilig Hart van Jezus,Primary,Nederlands,https://n2t.net/ark:/15052/0c3334c4-fc20-4c38-b412-e43b359b8cbe,Religious Order,"['Priesters van het Heilig Hart van Jezus SCJ', 'Priesters van het H. Hart van Jezus', 'Priestercongregatie van het H. Hart van Jezus', 'Priestercongregatie van het Heilig Hart van Jezus', 'S.C.I.', 'S.C.J.', 'SCI', 'SCJ', 'Priesters van het H. Hart van Jezus SCJ']",http://www.wikidata.org/entity/Q1183068,"""Brabant Cloud ARK Identifier"""
02d58f50-7128-527d-9856-605885034bfe,religious_order,0,"Zusters van Liefde van Jezus en Maria, Moeder van Goede Bijstand",Primary,Nederlands,https://n2t.net/ark:/15052/578e9787-b9db-41ec-90e5-d4a7c0a7b98f,Religious Order,"['Zusters van Schijndel', 'Congregatie van de Zusters van Liefde', 'Congregatie Zusters van Liefde', 'Zusters van Liefde van Schijndel', 'Zusters van Liefde (Schijndel)', 'Zusters van Liefde van Jezus en Maria van Goede Bijstand', 'Zusters van Liefde van Jezus en Maria, Troosteres der Bedrukten']",https://www.wikidata.org/entity/Q2438265,"""Brabant Cloud ARK Identifier"""
