code,old_concept,thesaurus,concept,AAT ID,action
auteur,Auteur,Digipolis Thesauri\ISAAR Relatie Type\,authors,300025492,production
Auteur,Auteur,Digipolis Thesauri\ISAAR Relatie Type\,authors,300025492,production
authors,Auteur,Digipolis Thesauri\ISAAR Relatie Type\,authors,300025492,production

briefschrijver,Briefschrijver,Digipolis Thesauri\ISAAR Relatie Type\,correspondents (correspondence writers),300225705,production
geadresseerde,Geadresseerde,Digipolis Thesauri\ISAAR Relatie Type\,recipients (people),300443565,production
onderwerp,Onderwerp,Digipolis Thesauri\ISAAR Relatie Type\,subjects (content of works),300404126,production
Gesigneerd Door,Gesigneerd Door,Digipolis Thesauri\ISAAR Relatie Type\,signers,300137375,production
Gesigneerd door,Gesigneerd Door,Digipolis Thesauri\ISAAR Relatie Type\,signers,300137375,production
Opgedragen aan,Opgedragen Aan,Digipolis Thesauri\ISAAR Relatie Type\,dedicatees,300121765,production
an,Annotaties Van,Digipolis Thesauri\ISAAR Relatie Type\,aantekenaar,,production
ar,Kunstenaar,Digipolis Thesauri\ISAAR Relatie Type\,artists (visual artists),300025103,production
arch,Architect,Digipolis Thesauri\ISAAR Relatie Type\,architects,300024987,production
au,Auteur,Digipolis Thesauri\ISAAR Relatie Type\,authors,300025492,production
av,Archiefvormer,Digipolis Thesauri\ISAAR Relatie Type\,originators (administrative),300386177,production
bb,Ingebonden Door,Digipolis Thesauri\ISAAR Relatie Type\,bookbinders,300025704,production
be,Bestemmeling,Digipolis Thesauri\ISAAR Relatie Type\,recipients (people),300443565,production
bs,Briefschrijver,Digipolis Thesauri\ISAAR Relatie Type\,correspondents (correspondence writers),300225705,production
cm,Componist,Digipolis Thesauri\ISAAR Relatie Type\,composers (people in music),300025671,production
co,Geadresseerde,Digipolis Thesauri\ISAAR Relatie Type\,recipients (people),300443565,production
dp,Verbeterd Door,Digipolis Thesauri\ISAAR Relatie Type\,revisers,300132961,production
dr,Drukker,Digipolis Thesauri\ISAAR Relatie Type\,printers (people),300025732,production
ds,Ontwerper,Digipolis Thesauri\ISAAR Relatie Type\,designers,300025190,production
fo,Fotograaf,Digipolis Thesauri\ISAAR Relatie Type\,photographers,300025687,production
gd,Getuigd Door,Digipolis Thesauri\ISAAR Relatie Type\,getuige,,production
gr,Graveur,Digipolis Thesauri\ISAAR Relatie Type\,engravers (printmakers),300025165,production
gt,Gieter,Digipolis Thesauri\ISAAR Relatie Type\,casters (people),300025257,production
il,Illustrator,Digipolis Thesauri\ISAAR Relatie Type\,illustrators,300025123,production
kw,Trefwoord,Digipolis Thesauri\ISAAR Relatie Type\,keywords,300311841,production
li,Lithograaf,Digipolis Thesauri\ISAAR Relatie Type\,lithographers,300025175,production
ma,Maker,Digipolis Thesauri\ISAAR Relatie Type\,makers,300251917,production
od,Ondertekend Door,Digipolis Thesauri\ISAAR Relatie Type\,signers,300137375,production
op,Opgedragen Aan,Digipolis Thesauri\ISAAR Relatie Type\,dedicatees,300121765,production
opd,Opgemaakt Door,Digipolis Thesauri\ISAAR Relatie Type\,writers (clerical workers),300386629,production
ow,Onderwerp,Digipolis Thesauri\ISAAR Relatie Type\,subjects (content of works),300404126,production
rg,Regisseur,Digipolis Thesauri\ISAAR Relatie Type\,keywords,300311841,production
si,Gesigneerd Door,Digipolis Thesauri\ISAAR Relatie Type\,signers,300137375,production
ts,Tekstschrijver,Digipolis Thesauri\ISAAR Relatie Type\,authors,300025492,production
ui,Uitgever,Digipolis Thesauri\ISAAR Relatie Type\,publishers,300025574,production
va,Verleend Aan,Digipolis Thesauri\ISAAR Relatie Type\,recipients (people),300443565,production
vb,In Verband Met,Digipolis Thesauri\ISAAR Relatie Type\,keywords,300311841,production
vd,Verleend Door,Digipolis Thesauri\ISAAR Relatie Type\,begunstiger,,production
vt,Vertaling Door,Digipolis Thesauri\ISAAR Relatie Type\,translators,300025601,production
vv,Origineel Van,Digipolis Thesauri\ISAAR Relatie Type\,original artists,300417530,production

