code,old_concept,thesaurus,concept,AAT ID,status
doek  ,Doek,Digipolis Thesauri\Drager Type\,canvas (textile material),300014078,
doek op hout,Doek Op Hout,Digipolis Thesauri\Drager Type\,canvas (textile material),300014078,
doek op papier,Doek Op Papier,Digipolis Thesauri\Drager Type\,canvas (textile material),300014078,
eterniet,Eterniet,Digipolis Thesauri\Drager Type\,asbestos-cement,300010367,
gekleurd papier,Gekleurd Papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
gekorreld papier,gekorreld papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
gelijnd papier,gelijnd papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
gemarmerd papier,gemarmerd papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
geolied linnen,Geolied Linnen,Digipolis Thesauri\Drager Type\,linen (material),300014069,
geruit papier,Geruit Papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
glas,Glas,Digipolis Thesauri\Drager Type\,glass (material),300010797,
handgeschept papier,Handgeschept Papier,Digipolis Thesauri\Drager Type\,handmade paper,300411543,
hout ,Hout,Digipolis Thesauri\Drager Type\,wood (plant material),300011914,
houtblok,Houtblok,Digipolis Thesauri\Drager Type\,wood (plant material),300011914,
Japans papier,Japans Papier,Digipolis Thesauri\Drager Type\,Japanese paper (handmade paper),300014143,
kalkpapier,Kalkpapier,Digipolis Thesauri\Drager Type\,tracing paper,300014161,
kardoespapier,Kardoespapier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
karton,Karton,Digipolis Thesauri\Drager Type\,cardboard,300014224,
koperplaat,Koperplaat,Digipolis Thesauri\Drager Type\,copper plates (printing plates),300435274,
linnen  ,Linnen,Digipolis Thesauri\Drager Type\,linen (material),300014069,
linnen band,Linnen Band,Digipolis Thesauri\Drager Type\,linen (material),300014069,
mdf,Mdf,Digipolis Thesauri\Drager Type\,medium-density fiberboard,300390932,
paneel,Paneel,Digipolis Thesauri\Drager Type\,panel (wood by form),300014657,
papier,Papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,production
papier op doek,Papier Op Doek,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
papier op karton,Papier Op Karton,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
papier op paneel,Papier Op Paneel,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
papier op papier,Papier Op Papier,Digipolis Thesauri\Drager Type\,paper (fiber product),300014109,
perkament ,Perkament,Digipolis Thesauri\Drager Type\,parchment (animal material),300011851,
perkamenten band,Perkamenten Band,Digipolis Thesauri\Drager Type\,parchment (animal material),300011851,
schetsboek,Schetsboek,Digipolis Thesauri\Drager Type\,sketchbooks,300027354,
spaanderplaat,Spaanderplaat,Digipolis Thesauri\Drager Type\,particle board,300014206,
triplex,Triplex,Digipolis Thesauri\Drager Type\,plywood,300012849,
unalit,Unalit,Digipolis Thesauri\Drager Type\,hardboard,300014203,
vergépapier,Verg√©papier,Digipolis Thesauri\Drager Type\,laid paper,300014184,
zijde,Zijde,Digipolis Thesauri\Drager Type\,silk (textile),300243428,
zink,Zink,Digipolis Thesauri\Drager Type\,zinc,300011037,
