code,old_concept,thesaurus,concept,AAT ID,status
beige,Beige,Digipolis Thesauri\Kleur Type\,beige (color),300266234,
blauw ,Blauw,Digipolis Thesauri\Kleur Type\,blue (color),300129361,
blauwgrijs,Blauwgrijs,Digipolis Thesauri\Kleur Type\,blue (color),300129361,
bronskleurig,Bronskleurig,Digipolis Thesauri\Kleur Type\,bronze (color),300311355,
bruin ,Bruin,Digipolis Thesauri\Kleur Type\,brown (color),300127490,
bruingroen,,,,,
donkerblauw,Donkerblauw,Digipolis Thesauri\Kleur Type\,blue (color),300129361,
donkerbruin,Donkerbruin,Digipolis Thesauri\Kleur Type\,brown (color),300127490,
gebroken wit,Gebroken Wit,Digipolis Thesauri\Kleur Type\,cream (color),300266242,
geel,Geel,Digipolis Thesauri\Kleur Type\,yellow (color),300127794,
geelgroen,,,,,
goudgroen,,,,,
goudkleurig,Goudkleurig,Digipolis Thesauri\Kleur Type\,gold (color),300311191,
grijs,Grijs,Digipolis Thesauri\Kleur Type\,gray (color),300130811,
grijsgroen,,,,,
groen,Groen,Digipolis Thesauri\Kleur Type\,green (color),300128438,
ivoorwit,Ivoorwit,Digipolis Thesauri\Kleur Type\,ivory (color),300266252,
lichtblauw,Lichtblauw,Digipolis Thesauri\Kleur Type\,blue (color),300129361,
lichtbruin,Lichtbruin,Digipolis Thesauri\Kleur Type\,brown (color),300127490,
okergeel,Okergeel,Digipolis Thesauri\Kleur Type\,ocher (color),300266267,
oranje,Oranje,Digipolis Thesauri\Kleur Type\,orange (color),300126734,
paars,Paars,Digipolis Thesauri\Kleur Type\,purple (color),300130257,
rood,Rood,Digipolis Thesauri\Kleur Type\,red (color),300126225,
roze,Roze,Digipolis Thesauri\Kleur Type\,pink (color),300124707,
sepia,Sepia,Digipolis Thesauri\Kleur Type\,sepia (color),300266260,
wit,Wit,Digipolis Thesauri\Kleur Type\,white (color),300129784,
zilverkleurig,Zilverkleurig,Digipolis Thesauri\Kleur Type\,silver (color),300311368,
zwart,Zwart,Digipolis Thesauri\Kleur Type\,black (color),300130920,production
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
sanguine,,,,,
,,,,,
terracotta,,,,,
