code,old_concept,thesaurus,concept,AAT ID,status
brief,Brief,Digipolis Thesauri\Object Type\,letters (correspondence),300026879,production
Brief,Brief,Digipolis Thesauri\Object Type\,letters (correspondence),300026879,production
brochures,Brochures,Digipolis Thesauri\Object Type\manuscripts (documents)\,scripts (documents),300026487,production
circulaires,_,Digipolis Thesauri\Object Type\letters (correspondence)\,circular letters,300026882,production
documentatie,Documentatie,Digipolis Thesauri\Object Type\documents (object genre)\,files (document groupings),300026942,production
e-mail uitprint,E-Mail Outprint,Digipolis Thesauri\Object Type\letters (correspondence)\,electronic mail,300149026,
Factuur,_,Digipolis Thesauri\Object Type\,invoices,300027568,production
fax,Fax,Digipolis Thesauri\Object Type\letters (correspondence)\,faxes,300240262,
financiële stukken en akten,_,Digipolis Thesauri\Object Type\,financial records,300027473,production
folders,Folders,Digipolis Thesauri\Object Type\documents (object genre)\,folders (printed matter),300212274,
getuigschriften,Getuigschriften,Digipolis Thesauri\Object Type\documents (object genre)\,testimonials,300026676,production
identiteitspapieren,Identiteitspapieren,Digipolis Thesauri\Object Type\documents (object genre)\,identity cards,300026799,
kaart,Kaart,Digipolis Thesauri\Object Type\letters (correspondence)\,postcards,300026816,production
kaartjes,Briefkaart,Digipolis Thesauri\Object Type\letters (correspondence)\,postcards,300026816,production
klad,Klad,Digipolis Thesauri\Object Type\,letters (correspondence),300026879,production
knipsels/artikels,Knipsels/Artikels,Digipolis Thesauri\Object Type\documents (object genre)\,clippings (information artifacts),300026867,production
libretto's en regieboeken,Librettos/Regieboeken,Digipolis Thesauri\Object Type\documents (object genre)\,librettos (documents for music),300026424,
liedboek,Liedboek,Digipolis Thesauri\Object Type\documents (object genre)\,folders (printed matter),300212274,
liederen,Liederen,Digipolis Thesauri\Object Type\documents (object genre)\,songbooks,300026432,
lidkaarten,Lidkaarten,Digipolis Thesauri\Object Type\documents (object genre)\,membership cards,300255378,
menu's,_,Digipolis Thesauri\Object Type\documents (object genre)\,menus,300027191,production
necrologia,Necrologia,Digipolis Thesauri\Object Type\documents (object genre)\,obituaries,300026443,production
omzendbrief,Circulaire,Digipolis Thesauri\Object Type\letters (correspondence)\,circular letters,300026882,
opdracht,Opdracht,Digipolis Thesauri\Object Type\letters (correspondence)\,dedications (documents),300026114,
overdrukken en pamfletten,_,Digipolis Thesauri\Object Type\documents (object genre)\,offprints,300262918,production
partituren,Muziek,Digipolis Thesauri\Object Type\manuscripts (documents)\,scores (documents for music),300026427,
prentbriefkaart,Prentbriefkaart,Digipolis Thesauri\Object Type\letters (correspondence)\,picture postcards,300026819,production
processtukken,_,Digipolis Thesauri\Object Type\,judicial records,300027850,production
programma's,Programma'S,Digipolis Thesauri\Object Type\documents (object genre)\,programs (documents),300027240,production
telegram,Telegram,Digipolis Thesauri\Object Type\letters (correspondence)\,telegrams,300026909,production
telex,Telex,Digipolis Thesauri\Object Type\letters (correspondence)\,telex printouts,300400813,
visitekaartje,Visitekaartje,Digipolis Thesauri\Object Type\letters (correspondence)\,visiting cards,300026823,production
wenskaarten,Wenskaart,Digipolis Thesauri\Object Type\letters (correspondence)\,greeting cards,300026778,
tekening, xxx, Digipolis Thesauri\Object Type\drawings (visual works)\,drawings (visual works),300033973
documenten, xxx, Digipolis Thesauri\Object Type\drawings (visual works)\,documents (object genre),300026030





