alternateNameId,geonameid,isolanguage,alternate name,isPreferredName,isShortName,isColloquial,isHistoric,from,to,name_type
7141420,2743489,link,https://en.wikipedia.org/wiki/Zwijnsbergen,,,,,,,
15725551,2743490,wkdt,Q2003398,,,,,,,
13790785,2743542,unlc,NLZWB,,,,,,,
1244097,2743549,,Zwarte-Horstweijer,,,,,,,
4123778,2743549,,Zwarte Horst,,,,,,,
2801901,2743618,,Zundert,,,,,,,
4123784,2743618,,Gemeente Zundert,,,,,,,
8612829,2743618,link,https://en.wikipedia.org/wiki/Zundert,,,,,,,
10840854,2743618,nl,Zundert,,1,,,,,
1244107,2743619,,Groot Zundert,,,,,,,
2954896,2743619,link,https://en.wikipedia.org/wiki/Zundert,,,,,,,
3041461,2743619,ru,Зюндерт,,,,,,,
13438100,2743619,post,4881,,,,,,,
13790774,2743619,unlc,NLZUD,,,,,,,
15307737,2743619,wkdt,Q2638759,,,,,,,
1244119,2743714,,Zijdwinde,,,,,,,
4123789,2743714,,Zuidewijn,,,,,,,
8552835,2743796,link,https://nl.wikipedia.org/wiki/Zuid_Carolina_(plaats),,,,,,,
1244149,2743843,,Zandveld,,,,,,,
7146535,2743864,link,https://en.wikipedia.org/wiki/Zittard%2C_North_Brabant,,,,,,,
1244160,2743877,,Sijtaard,,,,,,,
1244161,2743877,,Seitaart,,,,,,,
1244162,2743877,,Sijtaart,,,,,,,
11290580,2743877,link,https://en.wikipedia.org/wiki/Zijtaart,,,,,,,
8555558,2743920,link,https://nl.wikipedia.org/wiki/Zevenhutten,,,,,,,
1244175,2743934,,Zevenhuizen,,,,,,,
8552878,2743934,link,https://nl.wikipedia.org/wiki/Zevenhuis,,,,,,,
1244178,2743944,,Zevenbergschehoek,,,,,,,
13438158,2743944,post,4765,,,,,,,
13438159,2743944,post,4766,,,,,,,
13790726,2743944,unlc,NLZBK,,,,,,,
13790782,2743946,unlc,NLZVG,,,,,,,
2954939,2743947,link,https://en.wikipedia.org/wiki/Zevenbergen,,,,,,,
9385031,2743947,ja,ゼーフェンベルゲン,,,,,,,
9385032,2743947,uk,Зевенберген,,,,,,,
9385033,2743947,zh,澤芬貝亨,,,,,,,
13438160,2743947,post,4761,,,,,,,
13438161,2743947,post,4762,,,,,,,
13790781,2743947,unlc,NLZVB,,,,,,,
14939105,2743947,wkdt,Q76960,,,,,,,
7177367,2743956,link,https://en.wikipedia.org/wiki/Zesgehuchten,,,,,,,
17414655,2743956,nl,Zes Gehuchten,,,,,,,
17414656,2743956,nl,Zesgehuchten,1,,,,,,
1244184,2743978,,Zijlberg,,,,,,,
4123818,2743978,,Zeilberg,,,,,,,
