geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date,lat_long,parentid
2743480,Zwingelspaan,Zwingelspaan,,51.66,4.49583,P,PPL,NL,,06,1709,,,120,,-2,Europe/Amsterdam,2017-03-24,"(4.49583, 51.66)",2743480
2743489,Zwijnsbergen,Zwijnsbergen,,51.52667,5.50694,P,PPL,NL,,06,1948,,,0,,13,Europe/Amsterdam,2017-08-16,"(5.50694, 51.52667)",2743489
2743490,Zwijnsbergen,Zwijnsbergen,,51.64222,5.22194,S,EST,NL,,06,0865,,,0,,10,Europe/Amsterdam,2021-07-06,"(5.22194, 51.64222)",2743490
2743514,Zwartven,Zwartven,,51.3739,5.10937,H,PND,NL,,06,,,,0,,32,Europe/Amsterdam,2009-10-10,"(5.10937, 51.3739)",2749990
2743515,Zwartven,Zwartven,,51.50849,4.73123,L,LCTY,NL,,06,0879,,,0,,8,Europe/Amsterdam,2017-08-16,"(4.73123, 51.50849)",2743515
2743520,Zwart Moerken,Zwart Moerken,,51.53997,4.7099,L,LCTY,NL,,06,0879,,,0,,6,Europe/Amsterdam,2017-08-16,"(4.7099, 51.53997)",2743515
2743522,Zwarte Wiel,Zwarte Wiel,,51.55857,4.30007,H,PND,NL,,06,,,,0,,4,Europe/Amsterdam,2011-04-19,"(4.30007, 51.55857)",2749990
2743530,Zwarte Ven,Zwarte Ven,,51.44763,4.35197,L,LCTY,NL,,06,0873,,,0,,19,Europe/Amsterdam,2017-08-16,"(4.35197, 51.44763)",2743530
2743534,Zwarte Ruiter,Zwarte Ruiter,,51.5907,4.28862,P,PPL,NL,,06,0851,,,0,,0,Europe/Amsterdam,2008-05-02,"(4.28862, 51.5907)",2743534
2743541,Zwartenbergsche Polder,Zwartenbergsche Polder,,51.62108,4.64967,T,PLDR,NL,,06,,,,0,,-1,Europe/Amsterdam,2011-04-19,"(4.64967, 51.62108)",2749990
2743542,Zwartenberg,Zwartenberg,,51.62668,4.63756,P,PPL,NL,,06,0777,,,0,,4,Europe/Amsterdam,2008-02-01,"(4.63756, 51.62668)",2743542
2743549,Zwarte Horst,Zwarte Horst,"Zwarte Horst,Zwarte-Horstweijer",51.26993,5.26038,L,PRK,NL,,06,1724,,,0,,38,Europe/Amsterdam,2017-08-16,"(5.26038, 51.26993)",2743549
2743559,Zwarte Duin,Zwarte Duin,,51.40037,4.37383,T,DUNE,NL,,06,,,,0,,27,Europe/Amsterdam,2011-04-19,"(4.37383, 51.40037)",2749990
2743563,Zwarte Blik,Zwarte Blik,,51.52242,4.60323,L,LCTY,NL,,06,0840,,,0,,10,Europe/Amsterdam,2017-08-16,"(4.60323, 51.52242)",2743563
2743579,Zwaluwmoer,Zwaluwmoer,,51.40228,4.36634,H,PND,NL,,06,,,,0,,19,Europe/Amsterdam,2009-11-27,"(4.36634, 51.40228)",2749990
2743612,Zurenhoek,Zurenhoek,,51.5443,4.34906,L,LCTY,NL,,06,1674,,,0,,-2,Europe/Amsterdam,2017-08-16,"(4.34906, 51.5443)",2743612
2743613,Zurendonk,Zurendonk,,51.5136,4.60475,L,LCTY,NL,,06,0840,,,0,,10,Europe/Amsterdam,2017-08-16,"(4.60475, 51.5136)",2743563
2743614,Zure Maden,Zure Maden,,51.53934,4.37809,L,LCTY,NL,,06,1674,,,0,,2,Europe/Amsterdam,2017-08-16,"(4.37809, 51.53934)",2743612
2743615,Zure Heide,Zure Heide,,51.48269,4.37775,L,LCTY,NL,,06,1674,,,0,,9,Europe/Amsterdam,2017-08-16,"(4.37775, 51.48269)",2743612
2743617,Zundertsche Schijf,Zundertsche Schijf,,51.50228,4.57735,L,LCTY,NL,,06,0840,,,0,,12,Europe/Amsterdam,2017-08-16,"(4.57735, 51.50228)",2743563
