code,thesaurus,concept,AAT ID,status
Duits,Digipolis Thesauri\Taal Type\,German (language),300388344,production
Engels,Digipolis Thesauri\Taal Type\,English (language),300388277,production
Frans,Digipolis Thesauri\Taal Type\,French (language),300388306,production
Grieks,Digipolis Thesauri\Taal Type\,Greek (language),300389734,
Italiaans,Digipolis Thesauri\Taal Type\,Italian (language),300388474,production
Latijn,Digipolis Thesauri\Taal Type\,Latin (language),300388693,production
Nederlands,Digipolis Thesauri\Taal Type\,Dutch (language),300388256,production
Noors,Digipolis Thesauri\Taal Type\,Norwegian (language),300443706,
Spaans,Digipolis Thesauri\Taal Type\,Spanish (language),300389311,production
Zweeds,Digipolis Thesauri\Taal Type\,Swedish (language),300389336,
